A01,S01,S02
0.26,228.0,224.0
0.26,228.0,224.0
0.26,229.0,224.0
0.26,228.0,224.0
0.0,228.0,223.0
0.26,228.0,224.0
0.26,228.0,224.0
0.26,227.0,223.0
0.26,245.0,242.0
0.26,214.0,211.0
0.26,233.0,230.0
0.26,197.0,230.0
0.0,176.0,226.0
0.26,180.0,222.0
0.26,189.0,228.0
0.26,192.0,227.0
0.26,196.0,227.0
0.0,201.0,227.0
0.26,206.0,229.0
0.26,209.0,230.0
0.26,209.0,227.0
0.26,214.0,228.0
0.26,196.0,210.0
0.0,198.0,209.0
0.26,200.0,207.0
0.26,200.0,205.0
0.0,203.0,205.0
0.26,205.0,205.0
0.26,207.0,205.0
0.0,210.0,207.0
0.53,212.0,207.0
0.53,215.0,209.0
0.26,217.0,209.0
0.26,219.0,209.0
0.26,219.0,208.0
0.26,221.0,209.0
0.0,222.0,210.0
0.26,223.0,210.0
0.0,227.0,212.0
0.26,226.0,211.0
0.0,226.0,210.0
0.0,227.0,211.0
0.0,227.0,210.0
0.26,228.0,211.0
0.0,228.0,211.0
0.0,229.0,211.0
0.26,229.0,211.0
0.53,229.0,211.0
0.0,230.0,211.0
0.0,230.0,211.0
0.26,230.0,211.0
0.26,230.0,211.0
0.26,230.0,211.0
0.0,231.0,211.0
0.26,231.0,212.0
0.26,230.0,211.0
0.26,231.0,211.0
0.0,231.0,211.0
0.26,230.0,211.0
0.0,231.0,212.0
0.26,231.0,212.0
0.26,231.0,212.0
0.0,231.0,212.0
0.0,231.0,212.0
0.26,231.0,213.0
0.26,231.0,212.0
0.0,231.0,213.0
0.3,231.0,213.0
0.0,231.0,212.0
0.26,231.0,212.0
0.53,231.0,213.0
0.26,231.0,213.0
0.26,230.0,213.0
0.26,230.0,213.0
0.26,230.0,213.0
0.26,230.0,213.0
0.26,230.0,213.0
0.26,230.0,213.0
0.0,229.0,213.0
0.26,230.0,213.0
0.0,230.0,213.0
0.26,230.0,213.0
0.26,229.0,214.0
0.26,229.0,213.0
0.26,230.0,214.0
0.0,229.0,214.0
0.0,230.0,214.0
0.26,229.0,214.0
0.0,229.0,214.0
0.0,229.0,214.0
0.26,228.0,214.0
0.26,228.0,214.0
0.26,228.0,214.0
0.26,228.0,214.0
0.26,228.0,214.0
0.53,228.0,214.0
0.0,228.0,214.0
0.53,228.0,215.0
0.26,228.0,214.0
0.26,227.0,215.0
0.53,227.0,215.0
0.26,227.0,214.0
0.0,227.0,215.0
0.0,226.0,214.0
0.26,226.0,214.0
0.26,227.0,215.0
0.26,226.0,214.0
0.26,226.0,215.0
0.26,226.0,214.0
0.26,226.0,215.0
0.26,226.0,215.0
0.0,225.0,215.0
0.0,225.0,214.0
0.26,226.0,214.0
0.26,225.0,214.0
0.26,225.0,214.0
0.0,225.0,214.0
0.0,225.0,214.0
0.26,224.0,215.0
0.26,224.0,214.0
0.0,224.0,215.0
0.26,224.0,214.0
0.0,224.0,215.0
0.26,224.0,215.0
0.0,224.0,215.0
0.26,223.0,215.0
0.0,224.0,214.0
0.26,224.0,215.0
0.0,223.0,214.0
0.26,223.0,214.0
0.26,223.0,214.0
0.26,223.0,215.0
0.0,223.0,215.0
0.0,223.0,214.0
0.0,223.0,214.0
0.26,222.0,214.0
0.26,222.0,214.0
